date,weekday,datename,weekend
2018-05-22,Tuesday,부처님오신날,1.0
2018-05-23,Wednesday,,
2018-05-24,Thursday,,
2018-05-25,Friday,,
2018-05-26,Saturday,,1.0
2018-05-27,Sunday,,1.0
2018-05-28,Monday,,
2018-05-29,Tuesday,,
2018-05-30,Wednesday,,
2018-05-31,Thursday,,
2018-06-01,Friday,,
2018-06-02,Saturday,,1.0
2018-06-03,Sunday,,1.0
2018-06-04,Monday,,
2018-06-05,Tuesday,,
2018-06-06,Wednesday,현충일,1.0
2018-06-07,Thursday,,
2018-06-08,Friday,,
2018-06-09,Saturday,,1.0
2018-06-10,Sunday,,1.0
2018-06-11,Monday,,
2018-06-12,Tuesday,,
2018-06-13,Wednesday,전국동시지방선거,1.0
2018-06-14,Thursday,,
2018-06-15,Friday,,
2018-06-16,Saturday,,1.0
2018-06-17,Sunday,,1.0
2018-06-18,Monday,,
2018-06-19,Tuesday,,
2018-06-20,Wednesday,,
2018-06-21,Thursday,,
2018-06-22,Friday,,
2018-06-23,Saturday,,1.0
2018-06-24,Sunday,,1.0
2018-06-25,Monday,,
2018-06-26,Tuesday,,
2018-06-27,Wednesday,,
2018-06-28,Thursday,,
2018-06-29,Friday,,
2018-06-30,Saturday,,1.0
2018-07-01,Sunday,,1.0
2018-07-02,Monday,,
2018-07-03,Tuesday,,
2018-07-04,Wednesday,,
2018-07-05,Thursday,,
2018-07-06,Friday,,
2018-07-07,Saturday,,1.0
2018-07-08,Sunday,,1.0
2018-07-09,Monday,,
2018-07-10,Tuesday,,
2018-07-11,Wednesday,,
2018-07-12,Thursday,,
2018-07-13,Friday,,
2018-07-14,Saturday,,1.0
2018-07-15,Sunday,,1.0
2018-07-16,Monday,,
2018-07-17,Tuesday,제헌절,1.0
2018-07-18,Wednesday,,
2018-07-19,Thursday,,
2018-07-20,Friday,,
2018-07-21,Saturday,,1.0
2018-07-22,Sunday,,1.0
2018-07-23,Monday,,
2018-07-24,Tuesday,,
2018-07-25,Wednesday,,
2018-07-26,Thursday,,
2018-07-27,Friday,,
2018-07-28,Saturday,,1.0
2018-07-29,Sunday,,1.0
2018-07-30,Monday,,
2018-07-31,Tuesday,,
2018-08-01,Wednesday,,
2018-08-02,Thursday,,
2018-08-03,Friday,,
2018-08-04,Saturday,,1.0
2018-08-05,Sunday,,1.0
2018-08-06,Monday,,
2018-08-07,Tuesday,,
2018-08-08,Wednesday,,
2018-08-09,Thursday,,
2018-08-10,Friday,,
2018-08-11,Saturday,,1.0
2018-08-12,Sunday,,1.0
2018-08-13,Monday,,
2018-08-14,Tuesday,,
2018-08-15,Wednesday,광복절,1.0
2018-08-16,Thursday,,
2018-08-17,Friday,,
2018-08-18,Saturday,,1.0
2018-08-19,Sunday,,1.0
2018-08-20,Monday,,
2018-08-21,Tuesday,,
2018-08-22,Wednesday,,
2018-08-23,Thursday,,
2018-08-24,Friday,,
2018-08-25,Saturday,,1.0
2018-08-26,Sunday,,1.0
2018-08-27,Monday,,
2018-08-28,Tuesday,,
2018-08-29,Wednesday,,
2018-08-30,Thursday,,
2018-08-31,Friday,,
2018-09-01,Saturday,,1.0
2018-09-02,Sunday,,1.0
2018-09-03,Monday,,
2018-09-04,Tuesday,,
2018-09-05,Wednesday,,
2018-09-06,Thursday,,
2018-09-07,Friday,,
2018-09-08,Saturday,,1.0
2018-09-09,Sunday,,1.0
2018-09-10,Monday,,
2018-09-11,Tuesday,,
2018-09-12,Wednesday,,
2018-09-13,Thursday,,
2018-09-14,Friday,,
2018-09-15,Saturday,,1.0
2018-09-16,Sunday,,1.0
2018-09-17,Monday,,
2018-09-18,Tuesday,,
2018-09-19,Wednesday,,
2018-09-20,Thursday,,
2018-09-21,Friday,,
2018-09-22,Saturday,,1.0
2018-09-23,Sunday,추석,1.0
2018-09-24,Monday,추석,1.0
2018-09-25,Tuesday,추석,1.0
2018-09-26,Wednesday,대체휴무일,1.0
2018-09-27,Thursday,,
2018-09-28,Friday,,
2018-09-29,Saturday,,1.0
2018-09-30,Sunday,,1.0
2018-10-01,Monday,,
2018-10-02,Tuesday,,
2018-10-03,Wednesday,개천절,1.0
2018-10-04,Thursday,,
2018-10-05,Friday,,
2018-10-06,Saturday,,1.0
2018-10-07,Sunday,,1.0
2018-10-08,Monday,,
2018-10-09,Tuesday,한글날,1.0
2018-10-10,Wednesday,,
2018-10-11,Thursday,,
2018-10-12,Friday,,
2018-10-13,Saturday,,1.0
2018-10-14,Sunday,,1.0
2018-10-15,Monday,,
2018-10-16,Tuesday,,
2018-10-17,Wednesday,,
2018-10-18,Thursday,,
2018-10-19,Friday,,
2018-10-20,Saturday,,1.0
2018-10-21,Sunday,,1.0
2018-10-22,Monday,,
2018-10-23,Tuesday,,
2018-10-24,Wednesday,,
2018-10-25,Thursday,,
2018-10-26,Friday,,
2018-10-27,Saturday,,1.0
2018-10-28,Sunday,,1.0
2018-10-29,Monday,,
2018-10-30,Tuesday,,
