,MSRDT_DE,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
8212,20170730,송파구,0.015,0.038,0.5,0.004,19.0,15.0
8251,20170731,송파구,0.027999999999999997,0.011000000000000001,0.6,0.003,18.0,12.0
8290,20170801,송파구,0.023,0.022000000000000002,0.5,0.004,20.0,11.0
8329,20170802,송파구,0.031,0.026000000000000002,0.6,0.004,32.0,20.0
8368,20170803,송파구,0.017,0.035,0.5,0.004,21.0,12.0
8407,20170804,송파구,0.017,0.043,0.5,0.004,25.0,17.0
8446,20170805,송파구,0.025,0.035,0.5,0.005,29.0,19.0
8485,20170806,송파구,0.021,0.023,0.5,0.003,24.0,17.0
8524,20170807,송파구,0.02,0.044000000000000004,0.5,0.004,30.0,21.0
8563,20170808,송파구,0.022000000000000002,0.052000000000000005,0.6,0.005,37.0,25.0
8602,20170809,송파구,0.022000000000000002,0.032,0.5,0.004,30.0,14.0
8641,20170810,송파구,0.016,0.027000000000000003,0.5,0.003,8.0,5.0
8680,20170811,송파구,0.004,0.018000000000000002,0.7,0.003,11.0,5.0
8719,20170812,송파구,0.01,0.022000000000000002,0.4,0.003,9.0,4.0
8758,20170813,송파구,0.011000000000000001,0.021,0.3,0.004,8.0,5.0
8797,20170814,송파구,0.013999999999999999,0.011000000000000001,0.3,0.004,8.0,4.0
8836,20170815,송파구,0.012,0.011000000000000001,0.3,0.003,6.0,3.0
8875,20170816,송파구,0.013999999999999999,0.011000000000000001,0.4,0.004,7.0,4.0
8914,20170817,송파구,0.016,0.013000000000000001,0.5,0.003,11.0,5.0
8953,20170818,송파구,0.027999999999999997,0.013999999999999999,0.6,0.004,25.0,15.0
8992,20170819,송파구,0.019,0.021,0.6,0.003,22.0,11.0
9031,20170820,송파구,0.01,0.025,0.4,0.003,9.0,5.0
9070,20170821,송파구,0.017,0.017,0.4,0.004,12.0,6.0
9109,20170822,송파구,0.02,0.023,0.5,0.005,18.0,10.0
9148,20170823,송파구,0.018000000000000002,0.006999999999999999,0.5,0.004,17.0,8.0
9187,20170824,송파구,0.015,0.016,0.5,0.005,18.0,7.0
9226,20170825,송파구,0.027999999999999997,0.022000000000000002,0.6,0.004,22.0,10.0
9265,20170826,송파구,0.027000000000000003,0.023,0.5,0.005,24.0,10.0
9304,20170827,송파구,0.024,0.016,0.5,0.004,23.0,12.0
9343,20170828,송파구,0.031,0.016,0.5,0.005,28.0,15.0
9382,20170829,송파구,0.012,0.022000000000000002,0.4,0.003,14.0,8.0
9421,20170830,송파구,0.035,0.013999999999999999,0.4,0.005,26.0,9.0
9460,20170831,송파구,0.026000000000000002,0.027000000000000003,0.4,0.004,33.0,18.0
9499,20170901,송파구,0.02,0.026000000000000002,0.3,0.004,20.0,10.0
9538,20170902,송파구,0.024,0.023,0.4,0.004,24.0,13.0
9577,20170903,송파구,0.024,0.031,0.4,0.003,26.0,17.0
9616,20170904,송파구,0.03,0.021,0.3,0.005,27.0,14.0
9655,20170905,송파구,0.03,0.009000000000000001,0.4,0.004,25.0,13.0
9694,20170906,송파구,0.034,0.006999999999999999,0.5,0.004,26.0,16.0
9733,20170907,송파구,0.028999999999999998,0.023,0.5,0.003,34.0,22.0
9772,20170908,송파구,0.037000000000000005,0.025,0.7,0.004,41.0,25.0
9811,20170909,송파구,0.040999999999999995,0.027000000000000003,0.7,0.005,53.0,34.0
9850,20170910,송파구,0.028999999999999998,0.019,0.6,0.004,47.0,30.0
