date,weekday,weekend,rainy,mean_c,O3,PM10,PM25
2017/11/16,Thursday,0.0,0.0,1.5,0.014,29.0,17.0
2017/11/17,Friday,0.0,1.0,2.0,0.004,51.0,29.0
2017/11/18,Saturday,1.0,0.0,-1.0,0.024,42.0,26.0
2017/11/19,Sunday,1.0,0.0,-1.5,0.021,27.0,13.0
2017/11/20,Monday,0.0,1.0,0.0,0.01,41.0,23.0
2017/11/21,Tuesday,0.0,0.0,2.0,0.005,58.0,35.0
2017/11/22,Wednesday,0.0,1.0,6.0,0.012,70.0,34.0
2017/11/23,Thursday,0.0,1.0,1.0,0.016,28.0,13.0
2017/11/24,Friday,0.0,1.0,0.0,0.012,22.0,14.0
2017/11/25,Saturday,1.0,1.0,2.0,0.006,25.0,17.0
2017/11/26,Sunday,1.0,0.0,4.0,0.012,29.0,19.0
2017/11/27,Monday,0.0,0.0,3.5,0.005,49.0,30.0
2017/11/28,Tuesday,0.0,1.0,6.0,0.004,68.0,46.0
2017/11/29,Wednesday,0.0,1.0,3.0,0.011,64.0,25.0
2017/11/30,Thursday,0.0,0.0,-1.0,0.026,25.0,10.0
2017/12/01,Friday,0.0,1.0,-2.5,0.013,25.0,13.0
2017/12/02,Saturday,1.0,0.0,1.5,0.006,43.0,26.0
2017/12/03,Sunday,1.0,1.0,5.5,0.006,43.0,29.0
2017/12/04,Monday,0.0,1.0,-0.5,0.018000000000000002,41.0,22.0
2017/12/05,Tuesday,0.0,1.0,-4.0,0.019,22.0,13.0
2017/12/06,Wednesday,0.0,1.0,0.5,0.009000000000000001,28.0,21.0
2017/12/07,Thursday,0.0,0.0,0.5,0.01,36.0,26.0
2017/12/08,Friday,0.0,0.0,-4.0,0.016,31.0,24.0
2017/12/09,Saturday,1.0,0.0,-0.5,0.005,40.0,25.0
2017/12/10,Sunday,1.0,1.0,2.0,0.012,34.0,23.0
2017/12/11,Monday,0.0,0.0,-7.0,0.019,52.0,11.0
2017/12/12,Tuesday,0.0,0.0,-8.5,0.016,33.0,18.0
2017/12/13,Wednesday,0.0,0.0,-8.0,0.01,41.0,23.0
2017/12/14,Thursday,0.0,0.0,-6.5,0.004,54.0,36.0
2017/12/15,Friday,0.0,1.0,-3.5,0.003,76.0,55.0
2017/12/16,Saturday,1.0,0.0,-5.5,0.015,54.0,43.0
2017/12/17,Sunday,1.0,0.0,-6.5,0.023,39.0,14.0
2017/12/18,Monday,0.0,1.0,-1.5,0.004,51.0,35.0
2017/12/19,Tuesday,0.0,0.0,-4.0,0.015,47.0,19.0
2017/12/20,Wednesday,0.0,1.0,-4.5,0.005,43.0,29.0
2017/12/21,Thursday,0.0,0.0,-0.5,0.005,46.0,35.0
2017/12/22,Friday,0.0,0.0,2.5,0.004,56.0,45.0
2017/12/23,Saturday,1.0,0.0,7.0,0.011,90.0,65.0
2017/12/24,Sunday,1.0,1.0,2.5,0.012,66.0,54.0
2017/12/25,Monday,1.0,0.0,-2.0,0.023,36.0,16.0
2017/12/26,Tuesday,0.0,0.0,-4.5,0.018000000000000002,34.0,15.0
2017/12/27,Wednesday,0.0,0.0,-6.5,0.016,31.0,14.0
2017/12/28,Thursday,0.0,1.0,-3.0,0.004,61.0,30.0
2017/12/29,Friday,0.0,1.0,3.0,0.006,102.0,61.0
2017/12/30,Saturday,1.0,1.0,2.0,0.006,134.0,88.0
2017/12/31,Sunday,1.0,1.0,0.0,0.024,71.0,34.0
2018/01/01,Monday,1.0,0.0,-0.5,0.013,52.0,23.0
2018/01/02,Tuesday,0.0,0.0,-1.0,0.011,53.0,27.0
2018/01/03,Wednesday,0.0,0.0,-3.5,0.016,40.0,20.0
2018/01/04,Thursday,0.0,0.0,-5.0,0.013,57.0,26.0
2018/01/05,Friday,0.0,0.0,-2.0,0.008,65.0,36.0
2018/01/06,Saturday,1.0,0.0,-2.0,0.009000000000000001,60.0,29.0
2018/01/07,Sunday,1.0,0.0,-1.5,0.005,57.0,31.0
2018/01/08,Monday,0.0,1.0,1.5,0.006999999999999999,54.0,36.0
2018/01/09,Tuesday,0.0,1.0,-3.5,0.026,48.0,21.0
2018/01/10,Wednesday,0.0,1.0,-7.5,0.022,36.0,11.0
