Date,Rate
2019-03-18,3.82165
2019-03-19,11.46496
2019-03-20,0
2019-03-21,3.18471
2019-03-22,5.09554
2019-03-23,24.84076
2019-03-24,23.56687
2019-03-25,13.37579
2019-03-26,22.92993
2019-03-27,21.0191
2019-03-28,23.56687
2019-03-29,43.3121
2019-03-30,38.21656
2019-03-31,46.49681
2019-04-01,28.02547
2019-04-02,35.66878
2019-04-03,24.84076
2019-04-04,41.40127
2019-04-05,45.85987
2019-04-06,31.21019
2019-04-07,29.9363
2019-04-08,15.92356
2019-04-09,19.74522
2019-04-10,31.84713
2019-04-11,42.03821
2019-04-12,41.40127
2019-04-13,43.94904
2019-04-14,29.29936
2019-04-15,31.84713
2019-04-16,33.12101
2019-04-17,37.57961
2019-04-18,33.12101
2019-04-19,35.03184
2019-04-20,34.3949
2019-04-21,13.37579
2019-04-22,30.57324
2019-04-23,47.13375
2019-04-24,44.58598
2019-04-25,30.57324
2019-04-26,19.74522
2019-04-27,31.21019
2019-04-28,51.59235
2019-04-29,29.9363
2019-04-30,61.14649
2019-05-01,56.05095
2019-05-02,78.98089
2019-05-03,68.7898
2019-05-04,53.50318
2019-05-05,44.58598
2019-05-06,17.83439
2019-05-07,53.50318
2019-05-08,43.94904
2019-05-09,38.21656
2019-05-10,51.59235
2019-05-11,39.49044
2019-05-12,41.40127
2019-05-13,22.92993
2019-05-14,42.67515
2019-05-15,44.58598
2019-05-16,40.12738
2019-05-17,46.49681
2019-05-18,38.8535
2019-05-19,18.47133
2019-05-20,15.28662
2019-05-21,29.29936
2019-05-22,29.29936
2019-05-23,31.84713
2019-05-24,37.57961
2019-05-25,42.67515
2019-05-26,17.83439
2019-05-27,10.82802
2019-05-28,17.83439
2019-05-29,13.37579
2019-05-30,21.0191
2019-05-31,26.11464
2019-06-01,46.49681
2019-06-02,35.66878
2019-06-03,12.73885
2019-06-04,40.12738
2019-06-05,25.4777
2019-06-06,46.49681
2019-06-07,37.57961
2019-06-08,30.57324
2019-06-09,31.21019
2019-06-10,12.10191
2019-06-11,42.03821
2019-06-12,34.3949
2019-06-13,47.13375
2019-06-14,28.02547
2019-06-15,36.94267
2019-06-16,38.8535
2019-06-17,21.65605
2019-06-18,25.4777
2019-06-19,26.75159
2019-06-20,35.03184
2019-06-21,50.95541
2019-06-22,39.49044
2019-06-23,45.22292
2019-06-24,17.83439
2019-06-25,42.67515
2019-06-26,40.76433
2019-06-27,33.12101
2019-06-28,22.92993
2019-06-29,29.9363
2019-06-30,29.29936
2019-07-01,17.19745
2019-07-02,28.66242
2019-07-03,41.40127
2019-07-04,31.21019
2019-07-05,32.48407
2019-07-06,26.75159
